login,followers,max_stars,max_forks,account_age,agent_activity_span_days,agent_diversity,agentic_repo_breadth,collab_breadth,5yr_public_commits,5yr_private_work,5yr_reviews_given,5yr_prs_opened
HunterPSmith,0.0,0.0,0.0,4.0,1,1,1,1,11,0,0,49
Maxougit,3.0,2.0,8.0,5.0,31,1,2,0,267,459,2,10
CodeBreaker02,16.0,1.0,0.0,6.0,0,1,1,1,265,1414,0,14
chapeumister,0.0,0.0,0.0,2.0,0,1,1,1,14,0,0,12
wesged,1.0,0.0,0.0,3.0,11,1,1,1,41,0,15,14
Old2015,0.0,0.0,0.0,1.0,66,1,4,0,0,0,0,0
arwinwijaya,0.0,0.0,0.0,2.0,8,1,1,6,75,0,0,37
VictorAtencio-21,15.0,0.0,0.0,6.0,18,1,2,0,119,482,0,12
noluckmurphy,26.0,0.0,0.0,18.0,7,1,1,0,153,32,0,41
Ellios77,0.0,0.0,0.0,2.0,31,1,1,2,30,0,23,71
JRebertt,17.0,0.0,0.0,6.0,6,1,1,1,137,0,2,2
galenzo17,22.0,0.0,0.0,12.0,27,1,4,2,589,2538,1,78
batincode,3.0,0.0,0.0,4.0,33,1,2,0,28,0,0,4
kyarminrox,1.0,0.0,0.0,7.0,1,1,3,1,57,0,0,15
josephgitau,10.0,1.0,1.0,8.0,0,1,1,2,458,122,0,12
MalikMouazer,2.0,0.0,0.0,7.0,1,1,2,1,69,0,0,14
Goekayy,0.0,0.0,0.0,3.0,0,1,1,0,6,0,0,2
andresedal,5.0,0.0,0.0,5.0,16,1,1,0,23,0,0,0
ffhspa,0.0,0.0,0.0,9.0,4,1,1,0,83,0,1,33
yuto-0910,0.0,0.0,0.0,4.0,1,1,2,1,55,0,0,17
SIDGEY,1.0,0.0,0.0,12.0,2,1,1,1,25,0,0,9
HeyHemi-dev,4.0,1.0,0.0,5.0,0,1,1,0,1703,533,1,84
cwywilson,1.0,0.0,0.0,5.0,1,1,2,1,99,0,0,12
mohamed-arabi16,0.0,0.0,0.0,5.0,1,1,3,0,253,0,0,156
tosincode,4.0,0.0,0.0,7.0,12,1,1,0,13,0,0,0
jche0394,0.0,0.0,0.0,2.0,0,1,2,0,0,0,0,10
fjfdelahorra,0.0,0.0,0.0,6.0,7,1,1,0,123,0,1,50
RICE36a10,1.0,0.0,0.0,4.0,11,1,2,0,133,0,0,27
liammchugh,2.0,0.0,0.0,4.0,0,1,1,1,645,0,0,2
GianPaglieri,1.0,0.0,0.0,5.0,35,1,3,0,190,0,0,55
andinox,10.0,4.0,2.0,7.0,7,1,2,3,593,0,0,126
Mahmoudthoughts,0.0,0.0,0.0,9.0,8,1,1,0,130,0,0,62
vpetersson,117.0,0.0,4.0,16.0,53,1,2,34,3706,3426,856,561
pavlo209,0.0,0.0,0.0,10.0,1,1,1,0,32,0,0,9
