login,followers,max_stars,max_forks,account_age,agent_activity_span_days,agent_diversity,agentic_repo_breadth
nicolai-m,0.0,0.0,0.0,7,25,1,2
Kenjji1,0.0,0.0,0.0,5,0,1,1
eristocrates,3.0,0.0,0.0,8,3,1,3
Meeklekinz,0.0,1.0,0.0,6,0,1,1
emilykelt,4.0,0.0,0.0,5,0,1,1
mrWlyapa,1.0,0.0,0.0,6,0,1,1
gratefuljay,0.0,0.0,0.0,10,0,1,1
DanielRamos777,0.0,0.0,0.0,3,1,1,1
Mortyr,0.0,0.0,0.0,11,0,1,1
tom-takeru,2.0,0.0,0.0,7,10,1,1
ElshanAbas,0.0,0.0,0.0,6,1,1,1
NMaass,1.0,0.0,0.0,10,1,1,1
fab72309,0.0,0.0,0.0,1,0,1,1
dnshikhwan,3.0,0.0,0.0,7,0,1,1
JoaoNogueira23,0.0,0.0,0.0,3,8,1,1
dylanneve1,45.0,2.0,0.0,9,0,1,1
zrides,1.0,0.0,0.0,8,0,1,1
TangQi001,0.0,53.0,18.0,6,0,1,1
ahmetgon,0.0,0.0,0.0,6,1,1,1
aliphamjah,12.0,0.0,0.0,12,0,1,1
MugMugCup,3.0,0.0,0.0,3,4,1,2
gjbex,257.0,0.0,1.0,13,0,1,1
oumar-abakar,0.0,0.0,0.0,1,0,1,1
Shankar1371,0.0,0.0,0.0,6,0,1,1
Schwerti09,0.0,0.0,0.0,1,0,1,1
MotherOfDragons999,2.0,1.0,0.0,5,0,1,1
tzskp1,8.0,0.0,0.0,11,1,1,1
tindallh,0.0,0.0,0.0,10,0,1,1
byarin90,19.0,0.0,0.0,6,6,1,2
bloopereels,0.0,0.0,0.0,1,0,1,1
USM-Wolffe,0.0,0.0,0.0,4,29,1,2
RahulSomaraj,3.0,0.0,0.0,8,0,1,1
swetha-ganapathy,11.0,0.0,0.0,9,31,1,1
ANDRYBAS,1.0,0.0,0.0,3,6,1,1
TurbulentRice,2.0,0.0,0.0,6,0,1,1
fedorn,48.0,0.0,0.0,16,0,1,1
yildizm2000,0.0,0.0,0.0,10,0,1,1
ianphil,62.0,0.0,0.0,10,0,1,1
fOO223Fr,6.0,0.0,0.0,11,0,1,1
isurulankathilaka,0.0,0.0,0.0,9,0,1,1
